name,datetime,tempmax,tempmin,temp,feelslike,precip,windspeed,winddir,sealevelpressure,cloudcover
cairo,2020-01-06,17,10,13.4,13.2,0,42.5,187.9,1015.5,47
cairo,2020-01-07,15,10.8,12.4,12.4,0,46.4,217.5,1015.7,61
cairo,2020-01-08,16,8.1,12.2,10.9,0,40.7,226,1017.5,42.7
cairo,2020-01-09,15,9,11.9,11.3,0.7,31.7,226.5,1016.8,39.3
cairo,2020-01-10,16,8,12.1,11.5,0,31.7,253.2,1018.4,52.7
cairo,2020-01-11,17,8,12.7,12.3,0,14.8,189.1,1024.3,30.8
cairo,2020-01-12,18,11.9,14.3,14.3,0,14.8,228.3,1024.4,64.3
cairo,2020-01-13,18,10,14.1,14.1,0,18.4,38,1023.8,21.4
cairo,2020-01-14,18,11,14.7,14.7,0,29.5,48,1023,54.6
cairo,2020-01-15,21,12,16.5,16.5,0,35.3,60.4,1018.3,49.3
cairo,2020-01-16,18,13,16,16,0,38.9,191.8,1013.1,53.2
cairo,2020-01-17,17,11.9,13.8,13.8,1.2,33.5,208,1015.1,59.8
cairo,2020-01-18,16.8,11.9,13.9,13.9,0.4,22.3,217.2,1018.4,50.3
cairo,2020-01-19,16,10,13.3,13,0.3,24.1,202.2,1020.6,63.1
cairo,2020-01-20,17,12,14.4,14.4,0.2,29.5,271.6,1025.5,68.9
cairo,2020-01-21,16,11,13.2,13.2,0,33.5,308.3,1024.8,56.5
cairo,2020-01-22,16.1,9,12.8,12.7,0,22.3,307.1,1023.8,56.5
cairo,2020-01-23,16,8,12.8,12.3,0.1,20.5,219.3,1023.2,54.5
cairo,2020-01-24,16,10.1,13.4,13.4,0.1,27.7,293.1,1023.4,50
cairo,2020-01-25,17,6,11.4,11.1,0,20.5,24.7,1029,10.4
cairo,2020-01-26,17,6,11.8,11.1,0,29.5,49.8,1028.6,35.4
cairo,2020-01-27,19,7,12.7,11.8,0,31.7,49.3,1023.3,51.1
cairo,2020-01-28,17,9,13.3,13.3,0,16.6,333.1,1019.8,32.2
cairo,2020-01-29,18.1,10,14.9,14.8,0,16.6,272.4,1022.2,38.8
cairo,2020-01-30,19,11,15.5,15.5,0,20.5,289,1022,21.5
cairo,2020-01-31,19,11,14.6,14.6,0,22.3,288.6,1020.8,32.1
cairo,2020-02-01,18,9,14.1,13.8,0,16.6,324.8,1022.2,26.2
cairo,2020-02-02,19,9,14.6,14.6,0,18.4,12.5,1022.7,25.4
cairo,2020-02-03,18,9.9,14.2,14,0,22.3,15.5,1021.8,29.9
cairo,2020-02-04,19,11,15.3,15.3,0,14.8,294.6,1019.6,30.9
cairo,2020-02-05,21,12.9,16.9,16.9,0,31.7,178,1015.2,28.3
cairo,2020-02-06,22,16,18.3,18.3,0,42.5,199,1014.8,0.5
cairo,2020-02-07,19,14,15.9,15.9,0,35.3,246.2,1018.1,27.7
cairo,2020-02-08,16,11.1,13.3,13.3,0,27.7,262.2,1023.2,57.1
cairo,2020-02-09,15,10.1,12.2,12.2,0,31.7,303.3,1027.2,54.9
cairo,2020-02-10,14,9.9,11.8,11.5,0,22.3,302.6,1027.2,75.9
cairo,2020-02-11,18,9,13,12.6,0,24.1,205.6,1023.9,44.2
cairo,2020-02-12,20,11,15.5,15.5,0,24.1,186,1022.5,21.9
cairo,2020-02-13,24,13,18.2,18.2,0,22.3,167.7,1022,3.3
cairo,2020-02-14,20.1,11,15.6,15.6,0,27.7,42.9,1019.6,46.7
cairo,2020-02-15,21,11.8,15.5,15.5,0,14.8,312.6,1015.6,31.4
cairo,2020-02-16,19.8,14,16.2,16.2,0.4,18.4,306.1,1015.4,62.1
cairo,2020-02-17,19,12.8,15.3,15.3,0,27.7,4.2,1017.7,47.5
cairo,2020-02-18,19,10,14,14,0.3,24.1,348.6,1016.8,45.7
cairo,2020-02-19,18.5,11,13.9,13.9,0.8,27.7,273.8,1017.8,50.6
cairo,2020-02-20,19,10,14.5,14.4,0,24.1,225.5,1020,65
cairo,2020-02-21,20,12,15.6,15.6,0,38.9,229.1,1016.4,50.1
cairo,2020-02-22,17,11,14.2,14.2,0,14.8,250.2,1018.9,52.5
cairo,2020-02-23,18,11.9,14.9,14.9,0.4,18.4,6.3,1017.9,70.2
cairo,2020-02-24,16,9,11.6,11.2,10.2,27.7,347.5,1015.7,68.6
cairo,2020-02-25,20,11,15,15,1.4,22.3,258.6,1018.1,50.9
cairo,2020-02-26,22,12.9,17.3,17.3,0,14.8,191.4,1020.6,40.4
cairo,2020-02-27,25,13.1,19.8,19.8,0,14.8,169.6,1018.9,32.2
cairo,2020-02-28,26,16,20.8,20.8,0,18.4,268.8,1015.8,24.8
cairo,2020-02-29,21,14,17.1,17.1,0,31.7,272.9,1016.8,53.6
cairo,2020-03-01,19,12.8,15.4,15.4,0,25.9,303.4,1019.8,39.4
cairo,2020-03-02,20,11,15.3,15.3,0,29.5,21,1021.4,3.5
cairo,2020-03-03,23,11,16.4,16.4,0,31.7,43.9,1019.4,44.6
cairo,2020-03-04,26,11,18.9,18.9,0,22.3,231.1,1013.7,13
cairo,2020-03-05,26,19,21.9,21.9,0,37.1,179.7,1010.3,15
cairo,2020-03-06,20,15.9,17.8,17.8,1.3,31.7,268.9,1012.7,59.1
cairo,2020-03-07,22,14,17.5,17.5,0,25.9,21.7,1019,27.3
cairo,2020-03-08,25,12,18.2,18.2,0,29.5,43.7,1017.9,17.5
cairo,2020-03-09,30,14.8,21.1,20.7,0,42.5,230.7,1012.3,25.2
cairo,2020-03-10,21,12,16.6,16.6,0,33.5,19.3,1016.3,37.8
cairo,2020-03-11,23,13,17.3,17.3,0.5,40.7,31.3,1011.9,51.4
cairo,2020-03-12,17,13.1,15.6,15.6,44.1,46.4,53.1,1003.9,66.7
cairo,2020-03-13,18,12,15.3,15.3,21.5,51.8,221.2,998.6,65.6
cairo,2020-03-14,22,16,18.6,18.6,1,16.6,282.2,1013.7,63.6
cairo,2020-03-15,24,15.8,19.5,19.5,0,16.6,186.9,1016.4,47.5
cairo,2020-03-16,26,16,20.3,20.3,0,22.3,269.8,1014.9,28.1
cairo,2020-03-17,18.1,12,15.4,15.4,0.3,42.5,288.2,1015.7,65.3
cairo,2020-03-18,19,11,14.7,14.7,0,25.9,266.5,1017.2,54.7
cairo,2020-03-19,19,12,14.9,14.9,0,31.7,268.3,1018,54.4
cairo,2020-03-20,17,11,13.5,13.5,0.3,40.7,256.1,1016,37.7
cairo,2020-03-21,18,10,13.9,13.8,0,24.1,328.3,1015.9,56.6
cairo,2020-03-22,21,10,15.9,15.9,0,22.3,78.7,1016.9,41
cairo,2020-03-23,27.9,16,22.4,22,0,48.2,181.9,1010,48.8
cairo,2020-03-24,25,16,19.9,19.9,0,22.3,311,1010.6,8.5
cairo,2020-03-25,22,13.9,17.7,17.7,0,29.5,25.1,1013,45.4
cairo,2020-03-26,28,15.8,20,19.9,0.5,40.7,41.4,1007.4,65.8
cairo,2020-03-27,25.5,16.8,20.3,20.3,0,44.6,9.9,1007.3,44
cairo,2020-03-28,21,15,17.8,17.8,0,22.3,319.7,1016.2,54.6
cairo,2020-03-29,26,13,19.8,19.8,0,24.1,204.5,1015.5,29.6
cairo,2020-03-30,30,18,24.2,23.6,0,37.1,172.6,1010.7,29
cairo,2020-03-31,30.1,18,25.5,25,0.1,48.2,221.4,1007.8,45.7
cairo,2020-04-01,24,15.9,19.3,19.3,0,31.7,273.2,1014.3,43.8
cairo,2020-04-02,24,15.9,19.6,19.6,0,18.4,336.1,1015.5,18
cairo,2020-04-03,28,17,22.4,22.2,0,35.3,57.4,1015.5,12.4
cairo,2020-04-04,34,19,26.9,25.7,0,44.6,109.6,1011.2,8.9
cairo,2020-04-05,31,18.9,25,24.5,0,40.7,255,1011.2,15.7
cairo,2020-04-06,23.3,16,19.4,19.4,0,25.9,4.1,1016.6,31
cairo,2020-04-07,23,14,18.1,18.1,0,24.1,355,1016.5,28.7
cairo,2020-04-08,22,14,18.5,18.5,0,176,358.2,1015.7,52.7
cairo,2020-04-09,23,16,18.9,18.9,0.1,25.9,325.6,1014.3,39.7
cairo,2020-04-10,22,14.8,17.4,17.4,0,29.5,266,1014.9,32.1
cairo,2020-04-11,23,14,18.3,18.3,0,20.5,320.7,1016.7,24.3
cairo,2020-04-12,24,15,19.1,19.1,0,29.5,7.1,1018.5,33
cairo,2020-04-13,24,14.1,19.2,19.2,0,33.5,21.5,1017.7,2.1
cairo,2020-04-14,26,15,19.5,19.5,0,31.7,10.5,1017.6,30
cairo,2020-04-15,28.1,14.9,21.7,21.5,0,18.4,38.4,1017.4,29
cairo,2020-04-16,25.1,16.1,21.6,21.6,0,29.5,276,1012.7,23.2
cairo,2020-04-17,25,15,19.6,19.6,0,25.9,326.6,1013.3,57.1
cairo,2020-04-18,27,15.9,20.5,20.4,0,31.7,4.6,1014.5,18.3
cairo,2020-04-19,27,16,21.1,20.9,0,31.7,9.4,1013.5,13.9
cairo,2020-04-20,31,15.1,21.3,21.2,0,31.7,20.2,1012.2,12.3
cairo,2020-04-21,32,17,24.6,23.8,0,20.5,52,1010.1,33.1
cairo,2020-04-22,33.8,19.9,26.8,25.8,0,40.7,235.9,1007.3,10.4
cairo,2020-04-23,29,16.9,22.5,22.2,0,29.5,321.2,1011.9,22.9
cairo,2020-04-24,34,17.9,24.1,23.5,0,55.4,274.7,1005.1,41.8
cairo,2020-04-25,23.8,16,19.4,19.4,0,27.7,282.9,1011.4,68.5
cairo,2020-04-26,25,15.9,20.4,20.4,0,27.7,307.7,1013.8,38
cairo,2020-04-27,29,18,23.6,23.3,0,24.1,76.6,1012,27.5
cairo,2020-04-28,28.8,18,22.8,22.6,0,29.5,7.1,1011.1,1.8
cairo,2020-04-29,26,16,20.2,20.2,0,24.1,346,1014.8,25.4
cairo,2020-04-30,28,15.9,21.5,21.3,0,24.1,20.6,1014.4,13.8
cairo,2020-05-01,31,19,25.3,24.7,0,29.5,333,1012.8,12.6
cairo,2020-05-02,29,17,23.4,23,0,24.1,355.2,1012.7,6.3
cairo,2020-05-03,30,18,23.6,23.2,0,24.1,352.2,1011.2,12.9
cairo,2020-05-04,32,19.9,25.7,25,0,35.3,17.6,1010,5.2
cairo,2020-05-05,25,17.9,21.2,21.2,0,38.9,287.1,1012.4,50.5
cairo,2020-05-06,27,17,21.4,21.3,0,22.3,307.5,1015.6,21.5
cairo,2020-05-07,31,17,24.3,23.7,0,24.1,1.8,1013.9,0
cairo,2020-05-08,36,19,26.8,25.8,0,40.7,310.3,1009.8,9.2
cairo,2020-05-09,27,18,22,22,0,22.3,297.4,1013.4,52.9
cairo,2020-05-10,28,16.9,22.2,22,0,25.9,339.5,1016.8,17.3
cairo,2020-05-11,30,17,23.3,22.8,0,35.3,29.1,1017.2,26.7
cairo,2020-05-12,34,18,25.5,24.7,0,33.5,34.9,1015.6,27.9
cairo,2020-05-13,34,20,26.3,25.4,0,35.3,29.9,1014.3,83.5
cairo,2020-05-14,33,19,26.1,25.3,0,27.7,24.8,1011.7,25.8
cairo,2020-05-15,34.9,19.7,26.7,26.1,0,33.5,24.2,1010,51
cairo,2020-05-16,37,22,28.9,28.6,0,24.1,21,1010,53.6
cairo,2020-05-17,39,24,31.6,30.7,0,31.7,27.1,1009.8,34.1
cairo,2020-05-18,40,25.9,32.1,31.3,0.8,31.7,22.7,1009.1,10.3
cairo,2020-05-19,42,25,33.5,32,0,35.3,30.9,1008.7,6.3
cairo,2020-05-20,43.1,30.1,36.5,34.1,0,25.9,47.1,1007.3,3.3
cairo,2020-05-21,42,30,36.3,34.1,0,25.9,6.7,1006.9,28.1
cairo,2020-05-22,33,22.8,27.3,26.9,0,25.9,340.7,1013.5,8.4
cairo,2020-05-23,29,19.9,24.1,23.9,0,31.7,323.9,1016.1,27
cairo,2020-05-24,26,18,21.8,21.8,0,27.7,315.9,1016.8,19.7
cairo,2020-05-25,29,17,23.1,22.6,0,22.3,333,1016.6,0
cairo,2020-05-26,31,18.9,24.7,24.2,0,31.7,16.6,1014.7,5.6
cairo,2020-05-27,30,19,23.7,23.5,0,31.7,347.6,1015,36.7
cairo,2020-05-28,29,18.9,23.1,22.8,0,29.5,341.7,1016.6,24.2
cairo,2020-05-29,26.1,18.1,22.2,22.2,0,35.3,16,1017.9,20.2
cairo,2020-05-30,27,17,22.1,22,0,33.5,25.8,1017.3,14.6
cairo,2020-05-31,29,17,23.1,22.7,0,29.5,28.9,1015.8,0
cairo,2020-06-01,36.9,18.9,28.6,27.3,0,35.3,70.9,1010.4,24.2
cairo,2020-06-02,31,21.8,26,25.5,0,27.7,294.2,1009.1,0.8
cairo,2020-06-03,31,20.9,26,25.4,0,33.5,25.4,1011.3,0
cairo,2020-06-04,31,20.9,25.1,24.8,0,33.5,28,1012.8,28.1
cairo,2020-06-05,30,19.8,24.2,23.9,0,29.5,22.4,1014.6,12
cairo,2020-06-06,35,19,26.4,25.8,0,24.1,33.7,1012,0.1
cairo,2020-06-07,39,23,31.3,29.9,0,31.7,15.7,1008.2,7.3
cairo,2020-06-08,33,21.8,26.7,26.4,0,27.7,347.7,1009.1,23.8
cairo,2020-06-09,32,20,26,25.6,0,24.1,8.1,1010.4,41.1
cairo,2020-06-10,36,22,29.3,28.5,0,25.9,23.2,1011.6,8.9
cairo,2020-06-11,34,24,29.1,28.2,0,24.1,328.3,1012.7,27.9
cairo,2020-06-12,36,22.1,30,28.7,0,22.3,44.2,1011.2,1.4
cairo,2020-06-13,35,26,30.5,29.5,0,24.1,313,1007.5,19
cairo,2020-06-14,32,20.9,26,25.5,0,31.7,17,1009.2,17.8
cairo,2020-06-15,32,21,26.4,25.8,0,29.5,14.5,1011.5,9.2
cairo,2020-06-16,35,21.1,28.1,27.4,0,29.5,42,1010.7,0
cairo,2020-06-17,42,24,32.5,31.3,0,33.5,358.1,1008.6,0.1
cairo,2020-06-18,31.8,22,26.1,25.9,0,24.1,300.8,1011.7,23.7
cairo,2020-06-19,32,21.9,26.4,26.1,0,25.9,299.7,1011.8,34.8
cairo,2020-06-20,33,21.8,27.3,27.1,0,25.9,305.6,1011.7,12.6
cairo,2020-06-21,40,23.8,31.6,30.2,0,27.7,217.4,1008.8,8.1
cairo,2020-06-22,35,24.9,29.8,29.2,0,22.3,319.3,1010.2,0.1
cairo,2020-06-23,35,23.1,29.2,28.4,0,35.3,25.4,1012.6,0
cairo,2020-06-24,33,22.8,27.3,26.9,0,29.5,21,1014.7,11.6
cairo,2020-06-25,31,22.1,25.9,25.9,0,27.7,357,1012.8,34.6
cairo,2020-06-26,33,22.9,27,27.1,0,27.7,355.5,1009.9,24.5
cairo,2020-06-27,36.5,22.8,28,28.1,0,24.1,339.1,1008.9,12.2
cairo,2020-06-28,35,22,28,28,0,27.7,339.6,1008.8,20.5
cairo,2020-06-29,36,22.8,28.8,28.9,0,22.3,343,1008,21
cairo,2020-06-30,34,23.1,28.4,27.8,0,22.3,323.1,1007.1,12.9
cairo,2020-07-01,34,23.1,28.5,28.3,0,24.1,338.3,1006.4,3.5
cairo,2020-07-02,36,24.8,30.4,30.3,0,22.3,4.9,1005.1,0
cairo,2020-07-03,36,24.9,30.4,30.5,0,22.3,350.9,1005.9,0
cairo,2020-07-04,35.1,25,30,30.6,0,24.1,336,1007.7,2.8
cairo,2020-07-05,35,25,30,29.9,0,25.9,320.7,1005.7,1
cairo,2020-07-06,35.1,24.9,30.6,29.9,0,25.9,339.4,1004,0
cairo,2020-07-07,36,27,31.5,31.9,0,29.5,5.2,1004.3,0
cairo,2020-07-08,34,25,29.3,29.8,0,25.9,1.8,1008.1,24.1
cairo,2020-07-09,32.8,24,28.4,29,0,20.5,338.7,1008.4,31.2
cairo,2020-07-10,34,25,29,30.2,0,24.1,348.5,1008.4,45.1
cairo,2020-07-11,35,24.1,29.5,30,0,25.9,339.9,1009.4,19.4
cairo,2020-07-12,34,24,28.2,29,0,20.5,330.9,1007.3,23.1
cairo,2020-07-13,34,23.1,28.3,28.8,0,22.3,331.8,1005.1,22.3
cairo,2020-07-14,35,23.8,29.3,29.8,0,25.9,344.9,1005.9,27.4
cairo,2020-07-15,34,24.9,28.8,29.8,0,27.7,350.4,1009.4,18.6
cairo,2020-07-16,32,23,27.3,27.4,0,22.3,335.2,1008.9,23.7
cairo,2020-07-17,33,23,27.8,27.9,0,20.5,319.4,1007.1,21.6
cairo,2020-07-18,33,23.1,28.2,28.2,0,22.3,333.6,1007.2,4.2
cairo,2020-07-19,33,23,28,28.5,0,25.9,7.5,1007.7,9.4
cairo,2020-07-20,34,24,28.8,29.8,0,25.9,358.9,1009.1,22.8
cairo,2020-07-21,34,23.8,28.4,28.6,0,24.1,331.4,1008.9,28.7
cairo,2020-07-22,34,23.8,28.5,30,0,18.4,322.2,1005.5,24.3
cairo,2020-07-23,35,25,29.6,31.6,0,20.5,327.2,1003.6,22.9
cairo,2020-07-24,36,23.9,29.9,30.4,0,25.9,341.6,1005.1,26.3
cairo,2020-07-25,35,24,28.9,29.1,0,22.3,344.7,1006.3,10.7
cairo,2020-07-26,34,23,28.6,29.1,0,25.9,0.6,1007.4,3.8
cairo,2020-07-27,34,24,28.5,29.3,0,22.3,346.2,1007.3,13
cairo,2020-07-28,34,24.8,29.1,29.8,0,25.9,341.9,1007.2,19.9
cairo,2020-07-29,36,24.8,29.8,31.3,0,18.4,345.6,1008.3,9.9
cairo,2020-07-30,36,25,30.3,32,0,18.4,350.3,1009.7,0.4
cairo,2020-07-31,37,25,30.7,32.7,0,18.4,326.4,1008.6,20.4
cairo,2020-08-01,36,26.1,30.9,31.7,0,18.4,331,1005.3,0
cairo,2020-08-02,37,25,31.3,31.3,0,20.5,295.1,1005,0
cairo,2020-08-03,37,25.8,31.1,32.3,0,22.3,301.2,1007.4,6.7
cairo,2020-08-04,36,26.9,30.7,31.9,0,22.3,352.8,1006.9,0
cairo,2020-08-05,34,24.8,29,29.3,0,25.9,321.9,1006.7,14.4
cairo,2020-08-06,37,24.9,30.1,31,0,22.3,319.1,1008.4,2.2
cairo,2020-08-07,38,25,30.9,31.3,0,27.7,324.4,1009.7,0
cairo,2020-08-08,37,26,31.1,32.8,0,20.5,331.4,1008.9,0
cairo,2020-08-09,34.8,25,29.7,30.7,0,20.5,340.4,1007.9,3.1
cairo,2020-08-10,35,26,30.2,31.3,0,24.1,345,1008.6,15
cairo,2020-08-11,34,25.9,29.6,31.1,0,20.5,336.4,1009.9,33.3
cairo,2020-08-12,35.1,25.9,29.4,30.5,0,24.1,348.9,1009.1,43.5
cairo,2020-08-13,34,24,28.7,29.4,0,24.1,350.8,1007.8,18.9
cairo,2020-08-14,36,24.8,29.9,30.5,0,24.1,335.4,1006.7,20
cairo,2020-08-15,36,25,29.9,31,0,20.5,334.4,1005.7,35.5
cairo,2020-08-16,37,24.9,30.4,31.3,0,25.9,337.7,1005.7,7.4
cairo,2020-08-17,36,24,30,30.5,0,24.1,327.6,1006.5,6.1
cairo,2020-08-18,34,24.9,28.7,29.5,0,25.9,323.6,1006.9,28
cairo,2020-08-19,33,23.9,28.2,28.6,0,24.1,337.6,1005.7,15.7
cairo,2020-08-20,34,24,28.5,29,0,24.1,337.6,1006.4,10.4
cairo,2020-08-21,35,24.9,28.9,29.2,0,27.7,318.2,1007.3,23.9
cairo,2020-08-22,34,24.8,28.6,29.3,0,25.9,318.9,1006.5,37.3
cairo,2020-08-23,35,24.9,29.4,29.6,0,24.1,359.1,1005.3,10
cairo,2020-08-24,36,24,30.1,30.2,0,22.3,20.5,1005.9,7.2
cairo,2020-08-25,35,26,30.8,31.3,0,24.1,7.7,1008,13.8
cairo,2020-08-26,35,24,29.7,29.5,0,24.1,5.8,1009.7,4
cairo,2020-08-27,33,25,28.8,29.3,0,22.3,338.5,1008.4,7.6
cairo,2020-08-28,33,24.9,28.5,29.6,0,24.1,347.9,1006.8,45.3
cairo,2020-08-29,34.1,25,29.3,30.9,0,24.1,10.9,1007.4,35.2
cairo,2020-08-30,36.1,25.1,29.9,32.1,0,24.1,354.4,1008.2,17.6
cairo,2020-08-31,36,24.9,30.2,31.3,0,24.1,337.2,1007.1,7.1
cairo,2020-09-01,37,25,30.7,31.2,0,27.7,341.8,1006.6,8
cairo,2020-09-02,36,25,30.3,31,0,25.9,350.2,1008.8,0
cairo,2020-09-03,35,25,29.4,30.9,0,25.9,3.6,1011,5.8
cairo,2020-09-04,36,26,30.2,34.2,0,24.1,355.1,1009.6,32.7
cairo,2020-09-05,36,25.9,30.4,32.6,0,25.9,349.5,1008.1,25.9
cairo,2020-09-06,35.1,24.8,29.1,30.2,0,25.9,355.4,1008.3,16.1
cairo,2020-09-07,34.4,25,29.1,30.4,0,25.9,358.9,1009.7,19.7
